guide_id,vienna_mfe_energy_spacer,vienna_ensemble_energy_spacer,vienna_seed_mfe_spacer,vienna_seed_ensemble_spacer,vienna_mean_unpaired_spacer,vienna_mfe_energy_full,vienna_ensemble_energy_full,vienna_seed_mfe_full,vienna_seed_ensemble_full,vienna_mean_unpaired_full,vienna_unpaired_spacer_01,vienna_unpaired_full_01,vienna_unpaired_spacer_02,vienna_unpaired_full_02,vienna_unpaired_spacer_03,vienna_unpaired_full_03,vienna_unpaired_spacer_04,vienna_unpaired_full_04,vienna_unpaired_spacer_05,vienna_unpaired_full_05,vienna_unpaired_spacer_06,vienna_unpaired_full_06,vienna_unpaired_spacer_07,vienna_unpaired_full_07,vienna_unpaired_spacer_08,vienna_unpaired_full_08,vienna_unpaired_spacer_09,vienna_unpaired_full_09,vienna_unpaired_spacer_10,vienna_unpaired_full_10,vienna_unpaired_spacer_11,vienna_unpaired_full_11,vienna_unpaired_spacer_12,vienna_unpaired_full_12,vienna_unpaired_spacer_13,vienna_unpaired_full_13,vienna_unpaired_spacer_14,vienna_unpaired_full_14,vienna_unpaired_spacer_15,vienna_unpaired_full_15,vienna_unpaired_spacer_16,vienna_unpaired_full_16,vienna_unpaired_spacer_17,vienna_unpaired_full_17,vienna_unpaired_spacer_18,vienna_unpaired_full_18,vienna_unpaired_spacer_19,vienna_unpaired_full_19,vienna_unpaired_spacer_20,vienna_unpaired_full_20
Doench2016-10,-0.5100,-1.0965,0.750000,0.786707,0.828824,-37.2500,-38.9874,0.250000,0.345804,0.253400,0.999908,0.985472,0.988055,0.068947,0.999832,0.109231,0.999836,0.996471,0.963397,0.139518,0.948180,0.000199,1.000000,0.000119,0.952876,0.000051,0.960022,0.000183,0.996757,0.000034,0.217362,0.000029,0.256601,0.001310,0.960197,0.999744,0.941448,0.000693,0.996766,0.000009,0.952349,0.000022,0.964879,0.006128,0.579897,0.021288,0.257473,0.961916,0.640650,0.776633
Doench2016-11,-1.6600,-2.4899,0.750000,0.662054,0.720403,-27.4100,-29.2039,0.125000,0.361997,0.523320,0.844507,0.784443,0.783611,0.748315,0.792511,0.703766,0.975881,0.695867,0.890332,0.694965,0.908364,0.420912,0.185467,0.371562,0.191964,0.445055,0.995703,0.576097,0.633839,0.376338,0.999123,0.978142,0.910330,0.774960,0.861802,0.341381,0.962287,0.303678,0.881523,0.290554,0.458141,0.719430,0.234161,0.329862,0.289216,0.235660,0.651532,0.358407,0.957769,0.317006
Doench2016-12,-1.6600,-2.4420,0.750000,0.679909,0.737284,-29.5600,-30.8068,0.250000,0.280802,0.531153,0.855281,0.958329,0.850007,0.872170,0.991746,0.850991,0.969443,0.867712,0.975244,0.607798,0.067495,0.550633,0.069160,0.523346,0.997754,0.568966,0.596421,0.528392,0.999378,0.971862,0.974207,0.900177,0.960270,0.176280,0.976941,0.090217,0.969871,0.076161,0.480850,0.918120,0.230109,0.078591,0.294660,0.048084,0.676792,0.059924,0.906096,0.950444,0.903957,0.024871
Doench2016-13,-1.9800,-2.2761,0.500000,0.531267,0.623685,-33.2300,-34.1599,0.625000,0.560522,0.457861,0.863632,0.296958,0.868052,0.308253,0.999617,0.997428,0.999712,0.229452,0.364634,0.182530,0.993113,0.192990,0.071923,0.846289,0.034902,0.836979,0.044699,0.778189,0.997142,0.001601,0.991891,0.000659,0.994255,0.001717,0.999210,0.012083,0.999792,0.999133,0.042488,0.153556,0.037278,0.135075,0.079855,0.999906,0.860082,0.590768,0.232925,0.598161,0.998506,0.995497
Doench2016-14,-2.4000,-3.0730,1.000000,0.850089,0.620382,-31.8200,-32.3186,0.375000,0.388836,0.415720,0.997944,0.998323,0.196088,0.017133,0.199543,0.017360,0.194698,0.003593,0.461052,0.030420,0.839855,0.073114,0.897940,0.986667,0.922582,0.169226,0.475529,0.965569,0.035475,0.942012,0.190936,0.917349,0.195283,0.082957,0.907165,0.971318,0.882206,0.003863,0.848617,0.005307,0.862087,0.013871,0.823606,0.070582,0.838119,0.989319,0.642330,0.963056,0.996584,0.093369
Doench2016-15,-5.2700,-5.3716,0.500000,0.541766,0.509422,-33.6100,-34.5116,0.125000,0.169786,0.358741,0.074077,0.993578,0.022990,0.720998,0.002770,0.025545,0.000713,0.019777,0.002133,0.030613,0.992834,0.980127,0.999815,0.991166,0.999871,0.976309,0.999771,0.972100,0.875949,0.041663,0.882308,0.031909,0.001093,0.032736,0.019706,0.096800,0.120280,0.189458,0.075364,0.000754,0.120046,0.000196,0.999995,0.013410,0.999838,0.025293,0.999284,0.990363,0.999610,0.042018
Doench2016-16,-3.5200,-3.9997,0.250000,0.379763,0.503782,-34.7600,-35.5611,0.500000,0.497373,0.449719,0.999944,0.997213,0.355473,0.979647,0.196519,0.966171,0.003867,0.027534,0.031354,0.004442,0.797320,0.003125,0.886182,0.999099,0.367320,0.018143,0.402586,0.016932,0.997181,0.998271,0.999813,0.002495,0.999974,0.002321,0.683633,0.002092,0.198064,0.090124,0.174071,0.123082,0.999913,0.999941,0.225391,0.870247,0.199187,0.889960,0.198960,0.909669,0.358889,0.093870
Doench2016-17,-5.0900,-5.1113,0.625000,0.622805,0.698017,-32.2000,-33.5924,0.125000,0.174805,0.446550,0.991542,0.970477,0.018529,0.679016,0.001578,0.695962,0.002308,0.991436,0.999753,0.998082,0.999708,0.970325,0.999833,0.938224,0.982556,0.079448,0.982849,0.189119,0.999810,0.273472,0.999938,0.264899,0.999499,0.482092,0.017571,0.022368,0.001464,0.002083,0.008536,0.251507,0.994753,0.252339,0.992059,0.007168,0.999359,0.061146,0.984163,0.306742,0.984538,0.495084
Doench2016-18,-3.2000,-3.6210,0.625000,0.594491,0.569301,-30.2500,-31.7565,0.625000,0.605701,0.594792,0.333012,0.977578,0.295052,0.975969,0.964432,0.979132,0.971113,0.647075,0.994682,0.610624,0.813568,0.931665,0.287250,0.015207,0.126419,0.003985,0.793773,0.053108,0.211472,0.952582,0.408341,0.878326,0.430979,0.024990,0.863736,0.003861,0.615789,0.008053,0.750378,0.527951,0.783975,0.508100,0.996991,0.990068,0.243930,0.844831,0.238597,0.975990,0.262535,0.986755
Doench2016-19,-5.3300,-5.3458,0.750000,0.748975,0.699747,-39.3500,-40.0742,0.125000,0.130649,0.419228,0.996131,0.969381,0.996195,0.979911,0.999925,0.981772,0.998424,0.998293,0.005796,0.997418,0.003837,0.997640,0.001832,0.376791,0.996811,0.215998,0.999973,0.777393,0.999274,0.041783,1.000000,0.002942,0.004940,0.000051,0.003407,0.000020,0.005331,0.000006,0.999782,0.000672,0.998945,0.007668,0.997018,0.018565,0.996977,0.009139,0.995401,0.024396,0.994941,0.984725
Doench2016-20,0.0000,-0.1971,1.000000,0.966475,0.947601,-26.8500,-27.7629,0.750000,0.714718,0.510344,0.883806,0.254239,0.869920,0.201938,0.999262,0.072543,0.978621,0.057129,1.000000,0.128027,0.876739,0.042943,0.738729,0.860948,0.884164,0.860865,0.997932,0.747142,0.996650,0.984207,0.999728,0.205948,0.994663,0.073212,0.994206,0.027504,0.859805,0.024305,0.889159,0.997629,0.998321,0.985961,0.999156,0.920438,0.995688,0.881842,0.995710,0.923111,0.999757,0.956953
Doench2016-21,-0.4400,-1.2511,1.000000,0.865375,0.756494,-28.0000,-29.0855,1.000000,0.910233,0.649801,0.996507,0.991541,0.857211,0.705110,0.999873,0.995311,0.130322,0.017042,0.144131,0.003450,0.986749,0.004434,0.721756,0.014621,0.739202,0.836093,0.813758,0.970176,0.530606,0.166138,0.707033,0.175123,0.579731,0.835110,0.717484,0.835279,0.993698,0.863352,0.611650,0.827517,0.616091,0.957776,0.999951,0.998442,0.990678,0.993362,0.999714,0.999149,0.993733,0.806986
Doench2016-22,-3.5700,-3.9598,0.625000,0.633787,0.666026,-37.1500,-38.2871,0.250000,0.335183,0.338711,0.624982,0.980387,0.879630,0.078492,0.999120,0.076375,0.918556,0.051466,0.902305,0.087586,0.986783,0.292575,0.813992,0.454138,0.999881,0.737800,0.834591,0.565350,0.158629,0.050308,0.104754,0.004035,0.026992,0.714236,0.918916,0.245695,0.914858,0.240112,0.895273,0.936739,0.979815,0.036641,0.105440,0.203186,0.106043,0.013015,0.172326,0.071118,0.977625,0.934959
Doench2016-23,-7.2800,-7.4180,0.375000,0.390200,0.512150,-29.7100,-31.1931,0.375000,0.409015,0.528592,1.000000,0.981813,1.000000,0.987456,0.138000,0.301937,0.000449,0.204916,0.000287,0.204727,0.000030,0.202520,0.005648,0.123569,1.000000,0.891444,0.977399,0.964477,0.999683,0.847883,0.999954,0.794440,0.999944,0.794537,0.999500,0.794654,0.095531,0.322704,0.111527,0.342944,0.000284,0.004144,0.000386,0.006119,0.068825,0.254988,0.888092,0.821150,0.957453,0.725414
Doench2016-24,-0.7700,-1.7245,0.625000,0.634304,0.582000,-32.5900,-33.3371,0.750000,0.746741,0.416671,0.595286,0.176781,0.179701,0.998508,0.173180,0.026781,0.341995,0.001987,0.989719,0.000148,0.351285,0.000141,0.395960,0.000458,0.851401,0.005665,0.909202,0.995232,0.993333,0.128100,0.462862,0.019198,0.321646,0.006486,0.947827,0.009328,0.378200,0.059315,0.209497,0.969024,0.168970,0.952485,0.583574,0.999719,0.905719,0.999291,0.911500,0.999404,0.969145,0.985363
Doench2016-25,-1.5200,-1.9268,1.000000,0.861516,0.760357,-33.4800,-34.9219,0.625000,0.698032,0.429997,0.282447,0.000699,0.282619,0.000116,0.954156,0.128627,0.984764,0.999490,0.965847,0.036136,0.980055,0.001217,0.790227,0.000008,0.114027,0.000009,0.313941,0.001049,0.993807,0.940496,0.880150,0.670808,0.772964,0.237032,0.795544,0.285073,0.791152,0.955063,0.792191,0.976793,0.982474,0.964795,0.968902,0.996209,0.849752,0.693892,0.811328,0.293698,0.900785,0.418733
Doench2016-26,-2.4000,-2.8433,0.875000,0.853598,0.653517,-31.8600,-32.2935,0.375000,0.389898,0.457819,0.998554,0.984844,0.995758,0.980272,0.059891,0.016708,0.067131,0.034974,0.062664,0.004043,0.535496,0.032236,0.976885,0.072865,0.985305,0.969364,0.964520,0.165974,0.519867,0.948523,0.015409,0.925316,0.060073,0.902082,0.069313,0.094503,0.981923,0.969071,0.982383,0.017834,0.956646,0.022723,0.958716,0.024486,0.953343,0.031134,0.976761,0.980835,0.949702,0.978603
Doench2016-27,-7.5900,-8.1058,0.375000,0.350434,0.480343,-31.1500,-32.9784,0.375000,0.490126,0.416758,0.680581,0.462074,0.246679,0.157621,0.172002,0.062413,0.828794,0.224148,0.000189,0.125994,0.000208,0.127015,0.023954,0.148826,0.862620,0.451492,0.991467,0.519635,0.996932,0.511178,0.999976,0.904740,0.999981,0.719017,0.999981,0.722043,0.046765,0.496612,0.001489,0.332303,0.000548,0.304866,0.826672,0.704919,0.000836,0.418274,0.247247,0.507377,0.679936,0.434618
Doench2016-28,-4.2700,-4.6891,0.250000,0.323497,0.457801,-30.6600,-32.3695,0.750000,0.758114,0.415258,0.016334,0.087522,0.015256,0.008628,0.014242,0.002347,0.073397,0.018209,0.851018,0.004660,0.173114,0.006626,0.465255,0.009126,0.986892,0.002464,0.986166,0.017418,0.999047,0.998775,0.990246,0.084501,0.997087,0.999965,0.332883,0.991657,0.162597,0.997559,0.919579,0.998587,0.052907,0.997791,0.007834,0.897784,0.063283,0.295951,0.068655,0.864782,0.980235,0.020803
Doench2016-29,-1.0600,-1.1634,0.750000,0.785590,0.828694,-31.6300,-32.7670,0.375000,0.349451,0.536708,0.999926,0.999153,0.999875,0.998875,0.999922,0.998337,0.999407,0.993686,0.997589,0.288709,0.147154,0.098141,0.149529,0.825507,0.998753,0.997291,0.999931,0.252298,0.999973,0.253674,0.999317,0.986448,0.997789,0.246427,0.142482,0.043403,0.148113,0.371635,0.999518,0.951546,0.999984,0.996559,0.999769,0.428138,0.997508,0.002378,0.997748,0.000985,0.999600,0.000964
Doench2016-30,-3.3900,-3.7263,0.500000,0.627659,0.632281,-34.9600,-36.0738,0.875000,0.837640,0.467946,0.861605,0.335913,0.160151,0.151188,0.677429,0.985037,0.072762,0.001304,0.210470,0.002723,0.397416,0.135838,0.986199,0.999056,0.975054,0.035954,0.999612,0.001263,0.991005,0.000054,0.643704,0.000108,0.648946,0.009366,0.975412,0.983162,0.257629,0.796103,0.214975,0.957954,0.226693,0.927505,0.991066,0.945369,0.356826,0.968079,0.999687,0.992673,0.998987,0.130277
Doench2016-31,-3.1300,-3.3196,0.875000,0.847360,0.700951,-30.8000,-32.1706,0.000000,0.426679,0.478328,0.996965,0.975449,0.026446,0.582188,0.025860,0.539390,0.223605,0.555347,0.800726,0.646722,0.993500,0.516793,0.995719,0.566548,0.955093,0.707079,0.955126,0.437354,0.970495,0.381600,0.053497,0.045189,0.243098,0.199469,0.052513,0.277395,0.794682,0.365048,0.999995,0.502422,0.981007,0.403098,0.983555,0.467481,0.999988,0.561235,0.967602,0.261973,0.999540,0.574779
Doench2016-32,-1.7900,-1.9093,1.000000,0.956133,0.711057,-28.9500,-30.3198,0.500000,0.517464,0.614345,0.096864,0.844266,0.119405,0.534216,0.098725,0.439651,0.969525,0.984588,0.966044,0.995394,0.982711,0.890467,0.999803,0.981428,0.993620,0.644134,0.998548,0.963184,0.158945,0.826311,0.104043,0.033532,0.083847,0.010021,0.930622,0.136463,0.906577,0.034437,0.967529,0.138979,0.984823,0.043654,0.996572,0.887642,0.941290,0.960691,0.954653,0.969769,0.966998,0.968081
Doench2016-33,0.0000,-0.1081,1.000000,0.988236,0.972067,-27.4300,-29.1856,1.000000,0.704815,0.445018,0.995905,0.815845,0.995762,0.023242,0.915730,0.015966,0.908014,0.005171,0.975313,0.024350,0.962739,0.021326,1.000000,0.007979,0.999558,0.003740,1.000000,0.006943,0.869640,0.416437,0.913613,0.961614,0.999179,0.959229,0.997920,0.947090,0.998342,0.485120,0.963699,0.437275,0.974127,0.593294,0.997021,0.600247,0.990209,0.819291,0.986136,0.914061,0.998435,0.842141
Doench2016-34,-3.5700,-4.1377,0.625000,0.521541,0.614083,-39.4700,-40.3011,0.375000,0.388802,0.312429,0.955382,0.019573,0.986427,0.019244,0.667877,0.006363,0.500547,0.059500,0.524247,0.327459,0.951846,0.532935,0.999905,0.678253,0.503088,0.472055,0.062920,0.009443,0.478976,0.002145,0.478573,0.928708,0.999541,0.082494,0.999878,0.076569,0.530056,0.998695,0.523349,0.028565,0.441149,0.000548,0.468833,0.000210,0.085946,0.007637,0.454729,0.998258,0.668384,0.999936
Doench2016-35,-2.2900,-2.8232,1.000000,0.880964,0.704392,-30.7600,-31.7611,0.375000,0.352154,0.454633,0.701796,0.734694,0.332771,0.196796,0.124712,0.055122,0.127762,0.058797,1.000000,0.970397,0.999991,0.997964,0.942895,0.935815,0.952534,0.934098,0.242034,0.094972,0.238854,0.092380,0.475993,0.337788,0.900782,0.866604,0.647969,0.672733,0.766544,0.918742,0.815748,0.061572,0.895688,0.028124,0.933346,0.027704,0.999861,0.041685,0.988674,0.994904,0.999887,0.071765
Doench2016-36,-2.6700,-3.1150,0.500000,0.563533,0.515011,-25.6500,-27.4311,0.625000,0.534261,0.556251,0.250647,0.699784,0.253451,0.726398,0.396966,0.756142,0.346362,0.510509,0.303372,0.405120,0.328886,0.428094,0.755571,0.232760,0.764260,0.177727,0.763513,0.429272,0.999990,0.985488,0.325278,0.827580,0.303658,0.672061,0.347259,0.655292,0.975711,0.893449,0.860708,0.885400,0.239393,0.551885,0.384044,0.867947,0.162705,0.099022,0.768181,0.167483,0.770262,0.153610
Doench2016-37,-3.0000,-3.1364,0.625000,0.596471,0.676692,-34.0100,-34.7739,0.500000,0.475611,0.490725,0.997756,0.996294,0.997574,0.992961,0.984516,0.979816,0.845571,0.964266,0.018199,0.027485,0.021708,0.004434,0.165693,0.003091,0.974312,0.999115,0.878086,0.020477,0.884863,0.020764,0.996164,0.999837,0.997627,0.001069,0.999989,0.000442,0.140113,0.000170,0.047004,0.004524,0.042508,0.008616,0.999952,0.999915,0.836388,0.793731,0.849287,0.998781,0.856524,0.998706
Doench2016-38,-6.7800,-7.1031,0.500000,0.550354,0.640280,-30.0600,-31.5277,0.250000,0.333184,0.608534,0.999527,0.949835,0.995401,0.950534,0.410850,0.798411,0.001321,0.568651,0.000402,0.548811,0.000709,0.519779,0.995644,0.756616,1.000000,0.766791,0.999693,0.781175,0.999620,0.981173,0.999598,0.967009,1.000000,0.916418,0.995885,0.920642,0.999963,0.716410,0.010353,0.507673,0.000132,0.002468,0.000963,0.001704,0.399909,0.113201,0.999794,0.197470,0.995836,0.205906
Doench2016-39,-3.8100,-3.9168,1.000000,0.962691,0.701268,-35.7200,-37.0667,0.375000,0.384196,0.508614,0.147421,0.611566,0.017804,0.577654,0.017100,0.577257,0.934803,0.982647,0.934234,0.998921,0.990471,0.991029,0.987379,0.740570,0.075473,0.001654,0.076657,0.000952,0.147793,0.159894,0.997431,0.795137,0.997255,0.661441,0.938929,0.998482,0.925308,0.972801,0.923132,0.059413,0.927952,0.013658,0.994515,0.000114,0.994351,0.000127,0.999303,0.028975,0.998039,0.999995
Doench2016-40,0.0000,-0.2250,1.000000,0.925053,0.935497,-26.9300,-27.9002,0.750000,0.782526,0.516913,0.971891,0.196940,0.953751,0.060328,0.999503,0.062269,0.999026,0.135374,0.994010,0.984144,0.976439,0.968819,0.991240,0.252687,0.797802,0.196870,0.759811,0.163911,0.984591,0.855176,0.883282,0.075610,0.998166,0.125927,0.997103,0.755938,0.997031,0.793172,0.992188,0.365290,0.873407,0.495631,0.960742,0.992196,0.773314,0.920910,0.823647,0.988508,0.982993,0.948567
Doench2016-41,-1.0800,-1.4787,0.625000,0.629718,0.703621,-37.0000,-38.0423,0.500000,0.507635,0.506578,0.999720,0.980026,0.999979,0.972326,0.998194,0.974261,0.997361,0.590697,0.998823,0.533960,0.741235,0.986607,0.150090,0.030163,0.114987,0.000038,0.158223,0.000005,0.957299,0.000173,0.936415,0.002903,0.982350,0.999319,0.999499,0.956428,0.999642,0.106735,0.957745,0.000124,0.169237,0.000027,0.115114,0.005449,0.172163,0.999987,0.928845,0.999867,0.695500,0.992463
Doench2016-42,-4.6100,-4.7286,0.375000,0.405140,0.520027,-29.9800,-32.0652,0.125000,0.235497,0.388872,0.974064,0.926306,0.134930,0.450395,0.054441,0.550307,0.025623,0.443463,0.007443,0.212788,0.007887,0.459477,0.998724,0.805780,0.999726,0.558093,0.999380,0.521698,0.979064,0.471513,0.978728,0.448190,0.999413,0.045459,0.026834,0.002222,0.002452,0.001363,0.009934,0.002722,0.055717,0.011911,0.154747,0.020466,0.998735,0.292936,0.994574,0.566316,0.998130,0.986039
Doench2016-43,-3.8800,-4.2610,0.500000,0.551575,0.641118,-27.3300,-29.3655,1.000000,0.701042,0.571784,0.442477,0.269824,0.001222,0.059115,0.001459,0.081378,0.006991,0.410913,0.997744,0.576054,0.983253,0.434567,0.999907,0.473087,0.978056,0.461914,0.999949,0.481543,0.999479,0.950537,0.999632,0.819522,0.999601,0.808890,0.971574,0.757844,0.989584,0.751519,0.998324,0.719720,0.998326,0.951909,0.003953,0.495369,0.003321,0.519436,0.003705,0.538917,0.443810,0.873623
Doench2016-44,0.0000,-0.7272,1.000000,0.792613,0.778164,-26.9100,-29.1272,0.875000,0.731609,0.496052,0.685092,0.969187,0.741223,0.804196,0.998984,0.794052,0.704841,0.969585,0.514115,0.094562,0.858038,0.058073,0.959754,0.028049,0.722489,0.051266,0.609176,0.043742,0.753716,0.033928,0.767252,0.037348,0.907693,0.184176,0.927439,0.329786,0.810402,0.574081,0.565627,0.917092,0.744917,0.994009,0.948312,0.969430,0.932107,0.613374,0.652982,0.472805,0.759116,0.982298
Doench2016-45,-2.3400,-2.9137,0.500000,0.520275,0.615516,-27.0300,-28.5113,0.750000,0.691891,0.486920,0.999389,0.644842,0.671332,0.070621,0.672604,0.074737,0.826749,0.155196,0.462122,0.858519,0.075372,0.505328,0.582349,0.596982,0.475430,0.122388,0.463040,0.136747,0.963473,0.192031,0.971020,0.420749,0.985230,0.425142,0.997887,0.941055,0.314064,0.875478,0.483898,0.873504,0.010950,0.222770,0.011147,0.219245,0.999628,0.926488,0.672249,0.706202,0.672378,0.770384
Doench2016-46,-2.0600,-2.6205,0.625000,0.785692,0.707028,-33.1400,-34.5576,0.375000,0.385505,0.555921,0.165148,0.962211,0.154942,0.961132,0.546936,0.970972,0.531712,0.997050,0.914975,0.983823,0.892834,0.567564,0.547734,0.002479,0.554852,0.001586,0.994651,0.249003,0.985466,0.775494,0.988739,0.564265,0.577024,0.998804,0.463735,0.965640,0.449744,0.064157,0.498027,0.018624,0.950764,0.001387,0.948741,0.001713,0.992478,0.064191,0.983007,0.999930,0.999043,0.968400
Doench2016-47,0.0000,-0.3917,1.000000,0.866862,0.882258,-26.9000,-28.4382,0.625000,0.626362,0.589973,0.999977,0.974566,0.864783,0.699767,0.893027,0.750412,0.807291,0.630620,0.893076,0.814941,0.785956,0.860912,0.801559,0.970678,0.782710,0.969294,0.999477,0.070651,0.997054,0.036759,0.923951,0.006350,0.961409,0.003614,0.983596,0.005869,0.971080,0.018615,0.825764,0.989892,0.900920,0.995054,0.691037,0.993797,0.636513,0.998875,0.946755,0.998505,0.979231,0.010285
